name,year,director,writers,actors,types,regions,languages,dates,length,rating,rating_people,stars
辛德勒的名单 Schindler's List,(1993),史蒂文·斯皮尔伯格,托马斯·肯尼利/斯蒂文·泽里安,连姆·尼森/本·金斯利/拉尔夫·费因斯/卡罗琳·古多尔/乔纳森·萨加尔/艾伯丝·戴维兹/马尔戈萨·格贝尔/马克·伊瓦涅/碧翠斯·马科拉/安德烈·瑟韦林/弗里德里希·冯·图恩/克齐斯茨托夫·拉夫特/诺伯特·魏塞尔/维斯瓦夫·科马萨,剧情/历史/战争,美国, 英语 / 希伯来语 / 德语 / 波兰语,1993-11-30(华盛顿首映)/1994-02-04(美国),195分钟,9.5,1167041,80.2%/17.3%/2.1%/0.1%/0.2%
忠犬八公的故事 Hachi: A Dog's Tale,(2009),拉斯·霍尔斯道姆,斯蒂芬·P·林赛/新藤兼人,理查·基尔/莎拉·罗默尔/琼·艾伦/罗比·萨布莱特/艾瑞克·阿瓦利/田川洋行/杰森·亚历山大/罗伯特·卡普荣,剧情,美国/英国, 英语 / 日语,2009-06-13(西雅图电影节)/2010-03-12(英国),93分钟,9.4,1447450,74.9%/21.1%/3.6%/0.3%/0.1%
海上钢琴师 La leggenda del pianista sull'oceano,(1998),朱塞佩·托纳多雷,亚历山德罗·巴里科/朱塞佩·托纳多雷,蒂姆·罗斯/普路特·泰勒·文斯/比尔·努恩/克兰伦斯·威廉姆斯三世/梅兰尼·蒂埃里/皮特·沃恩/尼尔·奥布赖恩/阿尔贝托·巴斯克斯/加布里埃莱·拉维亚/科里·巴克/西德尼·科尔/Luigi De Luca/尼古拉·迪·平托/费米·依鲁福祖/伊斯顿·盖奇/凯文·麦克纳利/布莱恩·普林格/沙拉·鲁宾/希思科特·威廉姆斯/阿妮妲·扎格利亚/安吉洛·迪洛雷塔,剧情/音乐,意大利, 英语 / 法语 / 意大利语,2019-11-15(中国大陆)/1998-10-28(意大利),165分钟,9.3,1744400,71.0%/24.0%/4.4%/0.4%/0.2%
三傻大闹宝莱坞 3 Idiots,(2009),拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉/拉吉库马尔·希拉尼/阿希贾特·乔希,阿米尔·汗/卡琳娜·卡普尔/马达范/沙尔曼·乔希/奥米·瓦依达/博曼·伊拉尼/莫娜·辛格/拉杰夫·拉宾德拉纳特安,剧情/喜剧/爱情/歌舞,印度, 印地语 / 乌尔都语 / 英语,2011-12-08(中国大陆)/2009-12-25(印度),171分钟(印度),9.2,1934671,68.9%/25.4%/4.9%/0.5%/0.2%
放牛班的春天 Les choristes,(2004),克里斯托夫·巴哈蒂,乔治·沙普罗/勒·惠勒/诺埃-诺尔/克里斯托夫·巴哈蒂/菲利普·洛佩斯-屈瓦尔,让-巴蒂斯特·莫尼耶/热拉尔·朱尼奥/弗朗索瓦·贝莱昂/凯德·麦拉德/让-保罗·博奈雷/雅克·贝汉/玛丽·布奈尔/马克桑斯·贝汉/格雷戈里·加迪诺尔/托马斯·布伦门塔尔/西里尔·伯尔尼科特/西蒙·法戈特/泰奥杜尔·卡雷-卡赛尼/菲利普·杜·詹纳兰德/埃里克·德斯玛莱茨/狄迪尔·弗拉蒙/Carole Weiss,剧情/音乐,法国/瑞士/德国, 法语,2004-10-16(中国大陆)/2022-12-02(中国大陆重映)/2004-03-17(法国),97分钟,9.3,1370013,71.0%/25.2%/3.5%/0.2%/0.1%
机器人总动员 WALL·E,(2008),安德鲁·斯坦顿,安德鲁·斯坦顿/吉姆·里尔顿/彼特·道格特,本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特/西格妮·韦弗/MacInTalk/约翰·拉森贝格/凯茜·纳基麦/泰迪·牛顿/鲍伯·伯根/洛丽·理查德森/吉姆·瓦德/彼特·道格特/安德鲁·斯坦顿/杰夫·皮金/约翰·齐甘/米凯·麦高万/雪莉·琳恩/克莱特·惠特克/唐纳德·富利洛夫/罗里·艾伦/杰斯·哈梅尔/拉瑞恩·纽曼/扬·拉布森/保罗·伊丁,科幻/动画/冒险,美国, 英语,2008-06-27(美国),98分钟,9.3,1374298,71.9%/23.9%/3.9%/0.2%/0.1%
疯狂动物城 Zootopia,(2016),拜伦·霍华德,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什/吉姆·里尔顿/乔西·特立尼达/菲尔·约翰斯顿/珍妮弗·李,金妮弗·古德温/杰森·贝特曼/伊德瑞斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯/邦尼·亨特/唐·雷克/汤米·钟/J·K·西蒙斯/奥克塔维亚·斯宾瑟/艾伦·图代克/夏奇拉/雷蒙德·S·佩尔西/德拉·萨巴/莫里斯·拉马奇/菲尔·约翰斯顿/约翰·迪·马吉欧/凯蒂·洛斯/吉塔·雷迪/杰西·科尔蒂/汤米·利斯特/乔希·达拉斯/瑞奇·摩尔/凯斯·索西/彼得·曼斯布里奇/拜伦·霍华德/杰拉德·布什/马克·史密斯/乔西·特立尼达/约翰·拉维尔/克里斯汀·贝尔/吉尔·科德斯/梅利莎·古德温,喜剧/动画/冒险,美国, 英语 / 挪威语,2016-03-04(中国大陆/美国)/2020-07-24(中国大陆重映),109分钟(中国大陆),9.2,2048786,66.7%/28.7%/4.4%/0.2%/0.1%
无间道 無間道,(2002),刘伟强,麦兆辉/庄文强,刘德华/梁朝伟/黄秋生/曾志伟/陈慧琳/郑秀文/陈冠希/余文乐/萧亚轩/林家栋/吴廷烨/林迪安/尹志强/许金峰/何华超/利沙华/区轩玮/李天翔/黄燕强/姚文基/余世腾/苏伟南/黎志伟/梁皓楷/张旭燊/袁伟豪/杜汶泽,剧情/惊悚/犯罪,中国香港, 粤语,2003-09-05(中国大陆)/2002-12-12(中国香港),101分钟,9.3,1437008,69.4%/26.6%/3.8%/0.2%/0.1%
控方证人 Witness for the Prosecution,(1957),比利·怀尔德,阿加莎·克里斯蒂/比利·怀尔德/哈里·库尼兹,泰隆·鲍华/玛琳·黛德丽/查尔斯·劳顿/埃尔莎·兰彻斯特/约翰·威廉姆斯/亨利·丹尼尔/伊安·沃尔夫/托林·撒切尔/诺玛·威登/尤娜·奥康纳/茹塔·李,剧情/悬疑/犯罪,美国, 英语 / 德语,1957-12-17(美国),116分钟,9.6,614737,82.3%/15.9%/1.6%/0.1%/0.1%
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,(1995),刘镇伟,刘镇伟/吴承恩,周星驰/吴孟达/朱茵/蔡少芬/蓝洁瑛/莫文蔚/罗家英/刘镇伟/陆树铭/李健仁,喜剧/爱情/奇幻/古装,中国香港/中国大陆, 粤语 / 汉语普通话,2014-10-24(中国大陆)/2017-04-13(中国大陆重映)/1995-02-04(中国香港),95分钟,9.2,1595144,67.0%/26.4%/5.9%/0.5%/0.3%
